benchmark,metric,model,corpus,category,value,tolerance,n_targets,averaging,source_notebook,source_cell
figure2,median_interface_p_at_k,msa_pairformer,,,0.521008,0.02,,median,Figure2_MSAPairformer.ipynb,12
figure2,median_interface_p_at_k,msa_transformer,,,0.192547,0.02,,median,Figure2_MSAPairformer.ipynb,12
figure2,median_interface_p_at_k,inverse_covariance,,,0.086957,0.02,,median,Figure2_MSAPairformer.ipynb,12
figure2,median_interface_p_at_k,glm2,,,0.025862,0.02,,median,Figure2_MSAPairformer.ipynb,12
figure2,median_interface_p_at_k,e1,,,0.013889,0.02,,median,Figure2_MSAPairformer.ipynb,12
figure2,median_interface_p_at_k,esmc,,,0.008850,0.02,,median,Figure2_MSAPairformer.ipynb,12
casp15,median_long_range_p_at_l,msa_pairformer,logan,,0.706849,0.02,45,median,Figure5A_CASP15.ipynb,34
casp15,median_long_range_p_at_l,msa_pairformer,uniref,,0.660274,0.02,45,median,Figure5A_CASP15.ipynb,34
casp15,median_long_range_p_at_l,msa_transformer,logan,,0.552734,0.02,45,median,Figure5A_CASP15.ipynb,34
casp15,median_long_range_p_at_l,msa_transformer,uniref,,0.500000,0.02,45,median,Figure5A_CASP15.ipynb,34
casp15,median_long_range_p_at_l,esmc_600m,,,0.482422,0.02,45,median,Figure5A_CASP15.ipynb,34
casp15,median_long_range_p_at_l,esmc_300m,,,0.458984,0.02,45,median,Figure5A_CASP15.ipynb,34
casp15,median_long_range_p_at_l,esm2_15b,,,0.501465,0.02,45,median,Figure5A_CASP15.ipynb,34
casp15,median_long_range_p_at_l,esm2_3b,,,0.487805,0.02,45,median,Figure5A_CASP15.ipynb,34
casp15,median_long_range_p_at_l,esm2_650m,,,0.467391,0.02,45,median,Figure5A_CASP15.ipynb,34
casp15,median_long_range_p_at_l,esm2_150m,,,0.376682,0.02,45,median,Figure5A_CASP15.ipynb,34
proteingym,mean_spearman,msa_pairformer,uniref,Activity,0.485735,0.02,,two_step,Figure5B_Figure.ipynb,2
proteingym,mean_spearman,msa_pairformer,uniref,OrganismalFitness,0.451423,0.02,,two_step,Figure5B_Figure.ipynb,2
proteingym,mean_spearman,msa_pairformer,uniref,Binding,0.361730,0.02,,two_step,Figure5B_Figure.ipynb,2
proteingym,mean_spearman,msa_pairformer,uniref,Expression,0.437756,0.02,,two_step,Figure5B_Figure.ipynb,2
proteingym,mean_spearman,msa_pairformer,uniref,Stability,0.506818,0.02,,two_step,Figure5B_Figure.ipynb,2
proteingym,mean_spearman,msa_pairformer,logan,Activity,0.498227,0.02,,two_step,Figure5B_Figure.ipynb,2
proteingym,mean_spearman,msa_pairformer,logan,OrganismalFitness,0.461789,0.02,,two_step,Figure5B_Figure.ipynb,2
proteingym,mean_spearman,msa_pairformer,logan,Binding,0.357230,0.02,,two_step,Figure5B_Figure.ipynb,2
proteingym,mean_spearman,msa_pairformer,logan,Expression,0.447078,0.02,,two_step,Figure5B_Figure.ipynb,2
proteingym,mean_spearman,msa_pairformer,logan,Stability,0.498772,0.02,,two_step,Figure5B_Figure.ipynb,2
